npe,B,S,D,NH,KV,HD,INTER,dtype,family,kind,length,start,sequence,ops,input_shape_name,input_shape,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,single,1,G,G,gate_proj,hidden,"(1, 128, 4096)",318.5580000000773,139.52800000016578,121.41399999975692,0.0,0.0,16.557999999960884,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,single,1,I,I,silu,inter,"(1, 128, 14336)",51.95299999997951,2.238000000012107,10.57500000006985,0.0,0.0,38.83299999998417,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,single,1,X,X,mul_up_act,inter,"(1, 128, 14336)",61.447999999974854,4.065000000060536,15.858999999938533,0.0,0.0,41.30400000012014,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,single,1,D,D,down_proj,inter,"(1, 128, 14336)",293.36999999999534,137.77600000007078,147.16800000006333,0.0,2.7800000000279397,164.70699999993667,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,single,1,R,R,residual_add,hidden,"(1, 128, 4096)",61.930999999982305,0.9359999999869615,6.646999999997206,0.0,0.0,54.01000000000931,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,double,2,G,GI,gate_proj->silu,hidden,"(1, 128, 4096)",339.341999999946,140.02600000007078,121.92100000020582,0.0,0.0,36.85700000007637,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,double,2,I,IX,silu->mul_up_act,inter,"(1, 128, 14336)",61.41300000005867,6.30399999988731,16.227000000071712,0.0,0.0,40.88000000000466,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,double,2,X,XD,mul_up_act->down_proj,inter,"(1, 128, 14336)",281.75699999998324,103.03800000017509,124.6610000000801,0.0,2.7779999999329448,10.792000000015832,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,double,2,D,DR,down_proj->residual_add,inter,"(1, 128, 14336)",258.6389999999665,104.28599999961443,115.51500000013039,0.0,2.7799999999115244,128.7600000000093,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,triple,3,G,GIX,gate_proj->silu->mul_up_act,hidden,"(1, 128, 4096)",318.295999999973,143.60899999993853,125.75300000025891,0.0,0.0,9.498999999952503,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,triple,3,I,IXD,silu->mul_up_act->down_proj,inter,"(1, 128, 14336)",322.11800000001676,104.5590000001248,130.8650000001071,0.0,2.4860000000335276,52.14799999992829,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,triple,3,X,XDR,mul_up_act->down_proj->residual_add,inter,"(1, 128, 14336)",280.35800000000745,103.20100000011735,124.80400000012014,0.0,2.6109999999171123,8.473000000114553,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,quad,4,G,GIXD,gate_proj->silu->mul_up_act->down_proj,hidden,"(1, 128, 4096)",540.0030000000261,231.85599999991246,228.2750000001397,0.0,2.5139999999664724,169.22999999998137,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_tail,quad,4,I,IXDR,silu->mul_up_act->down_proj->residual_add,inter,"(1, 128, 14336)",279.77799999993294,105.4749999998603,124.16300000005867,0.0,2.7480000000214204,7.378000000026077,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,single,1,Q,Q,qk_scores,attn_q,"(1, 32, 128, 128)",14.643000000040047,5.690999999875203,7.101000000024214,0.0,0.0,3.41800000006333,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,single,1,S,S,softmax,attn_scores,"(1, 32, 128, 128)",12.45000000006985,3.356000000028871,4.798999999999069,0.0,0.0,3.853000000002794,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,single,1,A,A,av,attn_scores,"(1, 32, 128, 128)",43.9079999999376,5.700999999884516,7.9820000000763685,0.0,0.0,32.567000000039116,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,single,1,O,O,o_proj,attn_ctx,"(1, 32, 128, 128)",128.1700000000419,35.06299999996554,39.930999999982305,0.0,2.7760000000707805,63.14699999988079,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,single,1,R,R,residual_add,hidden,"(1, 128, 4096)",12.131999999983236,0.9359999999869615,6.981999999959953,0.0,0.0,3.9130000000586733,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,double,2,Q,QS,qk_scores->softmax,attn_q,"(1, 32, 128, 128)",20.469000000040978,9.13600000005681,7.861000000033528,0.0,0.0,0.8800000000046566,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,double,2,S,SA,softmax->av,attn_scores,"(1, 32, 128, 128)",16.726000000024214,4.594000000040978,4.716999999945983,0.0,0.0,0.5130000000353903,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,double,2,A,AO,av->o_proj,attn_scores,"(1, 32, 128, 128)",130.50799999991432,37.217999999877065,44.93899999989662,0.0,1.9540000000270084,6.393000000040047,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,double,2,O,OR,o_proj->residual_add,attn_ctx,"(1, 32, 128, 128)",130.0360000000801,36.161000000080094,40.89999999990687,0.0,2.77800000004936,63.48800000001211,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,triple,3,Q,QSA,qk_scores->softmax->av,attn_q,"(1, 32, 128, 128)",21.311999999918044,7.3140000000130385,5.897999999928288,0.0,0.0,0.5509999999776483,Cluster|DMA|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,triple,3,S,SAO,softmax->av->o_proj,attn_scores,"(1, 32, 128, 128)",130.10599999991246,39.330000000074506,44.80499999981839,0.0,1.9549999999580905,6.596000000019558,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,triple,3,A,AOR,av->o_proj->residual_add,attn_scores,"(1, 32, 128, 128)",132.89099999994505,39.32999999995809,45.14300000004005,0.0,1.7609999999403954,7.2510000000474975,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,quad,4,Q,QSAO,qk_scores->softmax->av->o_proj,attn_q,"(1, 32, 128, 128)",149.42700000002515,64.42800000018906,66.07799999997951,0.0,1.987000000081025,30.40100000007078,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,attn_tail,quad,4,S,SAOR,softmax->av->o_proj->residual_add,attn_scores,"(1, 32, 128, 128)",143.2139999999199,60.28999999992084,58.74099999992177,0.0,1.6850000000558794,23.278000000165775,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_full,full_mlp_no_residual,,M,MLP,G+U->I->X->D,hidden,"(1, 128, 4096)",803.3699999999953,356.69699999992736,330.8049999999348,0.0,2.6489999999757856,299.70100000011735,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,1,128,4096,32,8,128,14336,bfloat16,mlp_full,full_mlp_residual,,M,MLPR,G+U->I->X->D->R,hidden,"(1, 128, 4096)",805.137999999919,356.4920000000857,332.78100000007544,0.0,2.7449999999953434,298.0649999999441,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
